# f=31.67754485207151,a=6760.000656878837,e=0.004426870208295852,i=26.264873442639626,Om=287.36198671622157,w=323.08397712963483,total_time=1.5,timestep=1
Bx,By,Bz
3.813158649763054342e+01,5.310216719623080950e-01,-1.021763229535594419e+01
3.812684512671187065e+01,5.349937069352472818e-01,-1.017624591822711899e+01
3.812207326972849586e+01,5.389841468833633797e-01,-1.013485621610495890e+01
3.811727093635654029e+01,5.429928692514385258e-01,-1.009346316635254226e+01
3.811243813571043404e+01,5.470197517456306668e-01,-1.005206674786739285e+01
3.810757487738880656e+01,5.510646711842208667e-01,-1.001066694091826292e+01
3.810268116939091954e+01,5.551275058496900616e-01,-9.969263727455677682e+00
3.809775702125324415e+01,5.592081319950473750e-01,-9.927857090640367588e+00
3.809280244196651921e+01,5.633064261923115268e-01,-9.886447015156965890e+00
3.808781744050249074e+01,5.674222647616766757e-01,-9.845033487133166616e+00
3.808280202634360023e+01,5.715555231906442879e-01,-9.803616494066604403e+00
3.807775620738674149e+01,5.757060785187213536e-01,-9.762196025106371522e+00
3.807267999309826934e+01,5.798738057941160706e-01,-9.720772070623684868e+00
3.806757339241917037e+01,5.840585804550807447e-01,-9.679344622495900552e+00
3.806243641482196693e+01,5.882602771506210138e-01,-9.637913673967549499e+00
3.805726906820463284e+01,5.924787721505162530e-01,-9.596479219907847025e+00
3.805207136206040275e+01,5.967139397634898534e-01,-9.555041256415748308e+00
3.804684330537278214e+01,6.009656547439029550e-01,-9.513599781079603801e+00
3.804158490714717544e+01,6.052337917057303285e-01,-9.472154792908906273e+00
3.803629617694634391e+01,6.095182245270710508e-01,-9.430706292273578484e+00
3.803097712277204323e+01,6.138188287909802643e-01,-9.389254281130693158e+00
3.802562775425268171e+01,6.181354781567486301e-01,-9.347798762673047435e+00
3.802024808052626526e+01,6.224680467974658127e-01,-9.306339741559229495e+00
3.801483811130826496e+01,6.268164081923232045e-01,-9.264877223799983241e+00
3.800939785476355581e+01,6.311804375911367337e-01,-9.223411216960920811e+00
3.800392732070863389e+01,6.355600083493077035e-01,-9.181941729846670341e+00
3.799842651848481268e+01,6.399549943892092196e-01,-9.140468772706395129e+00
3.799289545749503105e+01,6.443652695998688396e-01,-9.098992357176262757e+00
3.798733414774462602e+01,6.487907072275980180e-01,-9.057512496232561716e+00
3.798174259770080852e+01,6.532311823693749409e-01,-9.016029204362519422e+00
3.797612081751327651e+01,6.576865682637775823e-01,-8.974542497293377608e+00
3.797046881687472819e+01,6.621567387813055428e-01,-8.933052392166482392e+00
3.796478660609963640e+01,6.666415671899145190e-01,-8.891558907450136218e+00
3.795907419397398286e+01,6.711409286705202204e-01,-8.850062063085402997e+00
3.795333159099031661e+01,6.756546965738164934e-01,-8.808561880252689491e+00
3.794755880719862517e+01,6.801827449328724517e-01,-8.767058381520415722e+00
3.794175585274850704e+01,6.847249478491724828e-01,-8.725551590800899149e+00
3.793592273843526641e+01,6.892811788704179543e-01,-8.684041533315060235e+00
3.793005947353711349e+01,6.938513135327518677e-01,-8.642528235706743445e+00
3.792416606906866150e+01,6.984352255764745276e-01,-8.601011725855876477e+00
3.791824253561893698e+01,7.030327894855803450e-01,-8.559492032994167943e+00
3.791228888389719742e+01,7.076438798665973806e-01,-8.517969187668459341e+00
3.790630512528122864e+01,7.122683708194400554e-01,-8.476443221713319431e+00
3.790029126964254402e+01,7.169061385055777169e-01,-8.434914168331873796e+00
3.789424732861794354e+01,7.215570573238884178e-01,-8.393382061956904394e+00
3.788817331343559403e+01,7.262210024760645810e-01,-8.351846938334585246e+00
3.788206923601038767e+01,7.308978486937957042e-01,-8.310308834480364837e+00
3.787593510675917230e+01,7.355874728266906803e-01,-8.268767788732713342e+00
3.786977093788674154e+01,7.402897499875410459e-01,-8.227223840653630660e+00
3.786357674120184669e+01,7.450045561377285352e-01,-8.185677031085575095e+00
3.785735252866821554e+01,7.497317674536013721e-01,-8.144127402127669058e+00
3.785109831295785199e+01,7.544712596856865128e-01,-8.102574997122026446e+00
3.784481410525426526e+01,7.592229107705292801e-01,-8.061019860674766946e+00
3.783849991855647943e+01,7.639865969389489919e-01,-8.019462038604366683e+00
3.783215576548306558e+01,7.687621953254945018e-01,-7.977901577965731406e+00
3.782578165937810866e+01,7.735495826727908364e-01,-7.936338527034597412e+00
3.781937761210421911e+01,7.783486379617586826e-01,-7.894772935301568317e+00
3.781294363736119379e+01,7.831592384916558069e-01,-7.853204853459306634e+00
3.780647974847983761e+01,7.879812625076795252e-01,-7.811634333400490071e+00
3.779998595897797742e+01,7.928145885558691708e-01,-7.770061428208112631e+00
3.779346228311943889e+01,7.976590948312504148e-01,-7.728486192155387791e+00
3.778690873369448155e+01,8.025146618300011969e-01,-7.686908680665917259e+00
3.778032532535688404e+01,8.073811683952540896e-01,-7.645328950351016672e+00
3.777371207240529571e+01,8.122584943668926805e-01,-7.603747058973034711e+00
3.776706898990017436e+01,8.171465192650081422e-01,-7.562163065458980427e+00
3.776039609143457909e+01,8.220451249588694997e-01,-7.520577029833503069e+00
3.775369339248528178e+01,8.269541916865384978e-01,-7.478989013296104993e+00
3.774696090818438421e+01,8.318736007216726014e-01,-7.437399078156696319e+00
3.774019865388057582e+01,8.368032337174639013e-01,-7.395807287841383193e+00
3.773340664570325487e+01,8.417429720445055441e-01,-7.354213706906977954e+00
3.772658489832089401e+01,8.466926994799855999e-01,-7.312618400939127739e+00
3.771973342831034870e+01,8.516522981958927208e-01,-7.271021436679800054e+00
3.771285225191620327e+01,8.566216514459291664e-01,-7.229422881929252753e+00
3.770594138617830993e+01,8.616006422295573453e-01,-7.187822805589314079e+00
3.769900084668037721e+01,8.665891559964321589e-01,-7.146221277534674066e+00
3.769203065093334004e+01,8.715870766106047496e-01,-7.104618368780731608e+00
3.768503081612552563e+01,8.765942890528281017e-01,-7.063014151358211201e+00
3.767800135968786890e+01,8.816106787547973722e-01,-7.021408698331884857e+00
3.767094229986422249e+01,8.866361309272483560e-01,-6.979802083831084580e+00
3.766385365344717684e+01,8.916705332828922526e-01,-6.938194382886147871e+00
3.765673543917976218e+01,8.967137719718794031e-01,-6.896585671646381144e+00
3.764958767549262575e+01,9.017657343025320404e-01,-6.854976027220200052e+00
3.764241038107302728e+01,9.068263080703098389e-01,-6.813365527702728741e+00
3.763520357543701778e+01,9.118953808810118522e-01,-6.771754252213539438e+00
3.762796727665379137e+01,9.169728428911207985e-01,-6.730142280699085156e+00
3.762070150476482411e+01,9.220585827157553593e-01,-6.688529694202085096e+00
3.761340627950911397e+01,9.271524901669094820e-01,-6.646916574667355526e+00
3.760608162146709788e+01,9.322544548905150608e-01,-6.605303005031127661e+00
3.759872754977472198e+01,9.373643691195310268e-01,-6.563689068996907849e+00
3.759134408555745210e+01,9.424821235614034842e-01,-6.522074851345154300e+00
3.758393124964517540e+01,9.476076101494870230e-01,-6.480460437710889643e+00
3.757648906314649651e+01,9.527407213631756688e-01,-6.438845914626081246e+00
